disease_name	disease_id	1049-953_cmpd_diff	1150-1049_cmpd_diff	1250-1150_cmpd_diff	1350-1250_cmpd_diff	1450-1350_cmpd_diff	1550-1450_cmpd_diff	1650-1550_cmpd_diff	1750-1650_cmpd_diff	1852-1750_cmpd_diff	1950-1852_cmpd_diff	2050-1950_cmpd_diff	2150-2050_cmpd_diff	2250-2150_cmpd_diff	2294-2250_cmpd_diff	1049-953_top10_diff	1150-1049_top10_diff	1250-1150_top10_diff	1350-1250_top10_diff	1450-1350_top10_diff	1550-1450_top10_diff	1650-1550_top10_diff	1750-1650_top10_diff	1852-1750_top10_diff	1950-1852_top10_diff	2050-1950_top10_diff	2150-2050_top10_diff	2250-2150_top10_diff	2294-2250_top10_diff
Diabetes Complications	MESH:D048909	0	1	2	1	1	3	1	2	0	0	1	1	2	0	0	-3.4	8.4	-2.8	-2.2	-4.7	-1.1	-1.7	0	0	-0.8	-0.6	-1.1	0
Vasospasm, Intracranial	MESH:D020301	1	2	3	0	2	0	2	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	13.3	10.2	-1.3	-1.2	9	0
Muscle Weakness	MESH:D018908				2	1	3	2	3	0	2	1	1	1	0				0	0	30	-5	-5	0	-2.4	-1	-0.9	-0.7	0
Community-Acquired Infections	MESH:D017714	0	2	3	0	2	4	1	1	1	3	1	0	0	0	0	25	17.8	0	12.7	-1.7	-11	3.8	3.4	7.8	2.2	0	-5	0
Akathisia, Drug-Induced	MESH:D017109	0	0	2	2	2	5	3	1	1	0	0	1	0	1	0	0	0	50	-12.5	0.9	11.6	-3	-2.6	0	0	-2.3	0	-2.1
Thyroid Neoplasms	MESH:D013964	0	0	1	2	1	0	1	2	2	1	2	0	4	0	0	-25	-5	-5.8	-1.7	0	-1.4	7	4.9	-1.6	-2.7	0	6.3	0
Thrombocytopenia	MESH:D013921			2	2	2	1	1	1	3	2	1	2	1	0			0	0	25	-2.8	-2.2	-1.9	10.4	9	9.5	-4.9	-2.1	0
Testicular Diseases	MESH:D013733	0	0	1	0	1	0	2	1	1	2	1	2	1	0	0	0	-7	0	-5.5	0	-8.4	-3.2	-2.7	8	-2.6	1	-2.1	0
Spinal Cord Injuries	MESH:D013119	0	0	2	0	2	2	3	4	0	1	2	0	0	1	0	0	0	0	14.2	-3.1	-2.77	-2.08	0	-0.37	4.62	0	0	-0.5
Prostatic Hyperplasia	MESH:D011470	1	0	2	0	4	1	0	1	1	1	3	0	1	0	6.6	-16.6	-12.5	0	-20.9	6.4	0	-1.6	5.2	4.6	21.4	0	-2.6	0
Myelodysplastic Syndromes	MESH:D009190	1	2	0	2	0	1	0	3	1	3	2	0	3	0	-33.4	-26.6	0	-11.5	0	21.5	0	-13.7	-3	6.7	7	0	-2	0
Mycoses	MESH:D009181	2	2	0	4	1	1	2	1	3	1	1	0	0	0	-50	0	0	-10	14.5	3.8	5.9	-4.2	1.1	7.3	1.6	0	0	0
Multiple Sclerosis	MESH:D009103		0	3	1	2	0	1	5	0	0	2	2	1	0		0	0	0	11.1	-11.1	0	20	0	0	3.5	-2.5	-1	0
Meningitis	MESH:D008581		1	0	0	3	3	1	4	3	1	2	0	0	0		0	0	0	0	22.2	17.8	2.8	4.2	3	0	-10	0	0
Esophageal Neoplasms	MESH:D004938	0	2	3	1	1	2	0	3	2	0	2	1	1	0	0	0	14.2	-14.2	0	18.1	0	10.4	9	0	-4.2	-1.8	-1.5	0
Dementia	MESH:D003704	0	0	2	3	2	2	3	0	1	2	0	0	0	0	0	0	-11.5	21.5	-8.4	8.4	-3	0	3	-5	0	0	0	0
Ischemic Attack, Transient	MESH:D002546	0	1	4	1	1	2	3	1	2	1	0	0	0	0	0	0	11.1	-1.1	8.1	-2.8	-9.05	-0.37	15.12	4	0	0	0	0
Cardiomyopathy, Hypertrophic	MESH:D002312	0	3	2	2	1	0	4	2	2	0	1	1	0	0	0	20	-5.8	-3.1	-1.1	0	18.5	-3.5	2.7	0	9.1	3.2	0	0
Anemia	MESH:D000740	0	1	3	2	3	1	0	1	0	3	1	1	1	0	0	0	28.5	-6.3	-5.6	-1.3	0	-1.1	0	-2.5	-0.6	4.6	-0.7	0
Labor Pain	MESH:D048949				3	2	2	2	4	2	0	0	0	0	2				-20	-8.6	6.3	-14.1	3	-7.8	0	0	0	0	-6.2
Substance-Related Disorders	MESH:D019966	0	2	2	2	0	1	0	1	0	4	1	0	1	0	0	2.8	-9.5	-6.1	0	-2.2	0	-2	0	-5.4	-1	0	-0.9	0
Stereotypic Movement Disorder	MESH:D019956	0	0	2	3	1	1	2	1	1	2	0	1	0	0	0	0	14.2	15.8	-2.8	14.4	1.2	-2.8	10	5.5	0	-2.9	-5.3	-5.2
Conduct Disorder	MESH:D019955			2	6	1	3	2	1	0	1	1	0	0	0			0	20	-1.9	31.9	-6.3	-2.6	0	-2.3	-2	0	0	0
Gram-Positive Bacterial Infections	MESH:D016908			0	0	2	4	0	4	2	2	1	1	0	0			0	0	0	44.4	0	-6	-5.1	1.9	-1.9	8.8	0	0
Gram-Negative Bacterial Infections	MESH:D016905	0	1	2	0	1	2	0	3	1	2	1	1	0	1	0	40	31.4	-14.3	-7.1	10	0	9.2	2.2	-8.9	-9.6	2.6	0	2.3
Lymphoma, B-Cell	MESH:D016393	1	1	0	1	3	0	0	5	0	4	0	0	2	0	0	0	0	0	12.5	-12.5	0	15.3	0	-3.6	0	0	-1.2	0
Inflammatory Bowel Diseases	MESH:D015212	1	1	2	1	1	2	0	2	0	0	0	4	1	0	0	0	0	0	10	15	0	-3.6	0	0	-7.2	13.5	3.8	0
Osteosarcoma	MESH:D012516	1	1	0	3	1	0	0	6	0	1	1	0	3	0	0	0	0	28.5	-3.5	0	0	32.1	0	2.9	8.7	0	-5.6	0
Sarcoma	MESH:D012509			2	1	1	1	0	6	1	0	1	1	2	0			0	0	0	0	0	28.5	11.5	0	10	-3	-4.9	0
Paranoid Disorders	MESH:D010259	0	1	2	3	1	3	6	0	0	1	0	0	0	0	0	33.3	6.7	22.5	-7	2.8	-2.8	0	0	2.3	0	0	0	0
Lung Diseases	MESH:D008171	0	1	2	0	1	2	1	3	2	1	0	0	0	1	-20	0	0	0	0	27.2	-2.2	-5	9.4	9.4	0	0	0	-2
Long QT Syndrome	MESH:D008133		0	4	1	4	2	2	2	1	1	0	0	0	0		0	33.3	9.5	-15.6	11.2	8.2	-5.5	-7.8	-1.8	0	-5.2	0	0
Huntington Disease	MESH:D006816	1	0	3	0	0	2	1	1	0	0	1	2	0	0	-4.2	0	-16.7	0	0	4.8	-1.4	-1.3	0	0	-1.1	-1.9	0	0
Hepatitis B	MESH:D006509	0	0	0	1	2	1	1	0	2	3	3	0	0	0	0	-16.7	0	16.7	-11.2	-8.8	-7.3	0	4.2	10.6	-3.3	-5.3	0	0
Gastroesophageal Reflux	MESH:D005764	0	0	4	3	1	2	1	0	1	2	0	0	0	0	0	0	15.5	-5.5	-3.9	-6.1	-2.5	0	-2.3	6.9	0	0	0	0
Child Behavior Disorders	MESH:D002653		0	6	5	1	1	2	0	0	0	0	1	0	0		0	0	0	6.66	-0.41	4.85	0	0	0	0	-0.6	0	0
Back Pain	MESH:D001416		1	2	4	1	2	2	1	1	2	0	0	0	0		-16.6	-16.7	-3.3	6.3	9.8	7.2	-3.3	2.9	-5.6	0	0	0	0
Non-alcoholic Fatty Liver Disease	MESH:D065626	0	0	3	2	2	0	2	1	1	2	1	0	1	1	0	0	0	0	22.2	0	-4.1	-1.5	-1.3	18	4.2	0	-2.3	-1.9
Drug Overdose	MESH:D062787	1	0	1	0	2	1	5	2	0	1	2	0	1	0	0	0	0	0	0	0	33.3	-11.9	0	11.9	-3.9	0	-1.7	0
Metabolic Syndrome	MESH:D024821	0	1	2	2	0	1	2	0	1	1	2	1	3	0	0	0	0	0	0	0	20	0	7.2	14.4	8.4	-3.4	-7.8	0
Sexual Dysfunctions, Psychological	MESH:D020018				4	1	1	3	3	0	2	2	0	0	0				0	0	0	9.09	-1.95	0	24.06	-3.5	-5.5	0	0
Neurodegenerative Diseases	MESH:D019636	0	0	2	1	1	3	2	0	2	1	1	1	1	1	0	0	0	0	0	33.3	3	0	-5.6	-2.2	-1.9	-1.6	-1.5	-1.3
Lymphoma, T-Cell	MESH:D016399	0	1	1	1	2	0	0	4	0	3	0	0	2	1	0	0	40	-6.7	-8.3	0	0	8.3	0	0	0	0	7.8	3.3
Status Asthmaticus	MESH:D013224		1	1	0	2	3	1	4	3	0	0	1	0	0		0	0	0	33.3	33.3	3.4	1.4	-0.9	0	0	-3.9	0	0
Pyelonephritis	MESH:D011704	0	3	0	2	2	4	1	1	0	2	0	1	0	0	0	30	0	-8.6	-15.9	13.7	2.2	-4.8	0	-1.9	0	-3.6	0	0
Polycystic Ovary Syndrome	MESH:D011085				1	2	2	2	2	1	0	0	0	1	0				-14.2	0	0	0	12.5	-0.8	0	0	0	-0.6	0
Medulloblastoma	MESH:D008527			0	0	1	0	0	4	1	4	3	0	3	0			0	0	0	0	0	0	0	0	13.3	0	-2.2	0
Leukemia, Myeloid	MESH:D007951	0	2	0	0	1	0	0	2	1	5	0	1	3	1	0	0	0	0	0	0	0	0	0	46.1	0	-3.3	16	7.8
Obstetric Labor, Premature	MESH:D007752		4	3	1	2	2	2	1	0	0	0	0	1	0		33.3	11.1	-4.4	-6.7	9.5	19.7	-3.7	-5.9	0	0	-5.9	-2.6	0
Infections	MESH:D007239	0	1	1	1	0	3	1	2	0	2	1	2	0	1	0	-41.6	-5	-3.4	0	-5.5	-11.1	16.6	0	11.9	18.1	6.3	0	8.2
Hypokalemia	MESH:D007008			4	3	2	2	3	1	0	1	0	0	0	0			66.6	-22.2	-8.1	-5.6	0.5	-7.7	0	4.2	0	0	0	0
Hypertension, Malignant	MESH:D006974	0	2	2	2	1	0	2	1	0	1	2	0	0	1	0	33.3	16.7	-10	-3.7	-9.1	-4.2	-1.6	0	11.9	-3.9	0	0	-1.7
Hypersensitivity	MESH:D006967			1	3	2	3	2	2	2	0	0	0	0	0			0	0	0	0	21.4	9.8	7.6	0	0	0	0	0
Hematuria	MESH:D006417	0	1	2	1	1	0	0	7	1	1	1	0	0	0	0	0	0	28.5	-3.5	0	0	8.3	-2.1	9.9	-2.3	0	0	0
Dyspepsia	MESH:D004415	0	1	5	3	2	2	1	0	1	1	0	0	0	0	0	0	37.5	17	-8.4	0.5	-2.9	0	-2.6	3.3	0	-5.6	0	0
Atrial Flutter	MESH:D001282	0	1	3	0	1	1	2	3	3	0	0	0	2	0	0	0	16.6	0	-2.4	-1.7	-12.5	0	6.25	0	0	0	-0.7	0
Apnea	MESH:D001049		1	2	2	1	2	3	2	1	1	0	0	0	0		0	0	12.5	-1.4	16.1	-5.8	3.6	-7.4	-1	0	0	0	0
Plaque, Atherosclerotic	MESH:D058226	0	0	1	2	1	1	1	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Small Cell Lung Carcinoma	MESH:D055752			1	1	1	0	1	6	0	3	1	1	0	0			0	0	0	0	0	33.3	0	13.3	-2.9	-2.6	0	0
Hearing Loss	MESH:D034381	2	0	3	2	1	2	0	1	1	0	0	1	1	0	0	0	25	25	-4.6	8.4	0	-3.8	10	0	-6.7	-3.3	-3	0
Infarction, Middle Cerebral Artery	MESH:D020244	0	0	4	0	1	1	2	1	0	1	2	2	0	0	0	0	0	0	0	0	9.09	-0.76	0	6.97	-2	-1.6	0	0
Vertigo	MESH:D014717	1	3	1	2	2	2	2	0	0	1	0	0	0	0	0	14.2	-1.7	-2.5	40	-7.2	0.9	0	0	3.3	0	0	-5.9	0
Proteus Infections	MESH:D011512	1	1	1	1	2	3	0	1	0	0	0	2	0	0	-10	21.4	-8.9	-7	8.1	7.8	0	-4.8	0	0	0	9.8	0	0
Penile Diseases	MESH:D010409	0	0	2	2	0	3	0	1	0	0	0	0	1	0	0	0	-5	5	0	-5	0	-1.3	0	0	0	0	-1.1	0
Paresthesia	MESH:D010292				3	2	3	0	3	0	1	1	0	0	0				-21.5	4.8	-8.3	0	8.3	0	-2.1	-1.8	0	0	0
Intestinal Diseases	MESH:D007410	0	1	3	2	0	0	2	0	2	0	0	0	0	0	0	0	0	15.3	0	0	4.7	0	-2.4	0	0	0	0	0
Disruptive, Impulse Control, and Conduct Disorders	MESH:D007174	0	1	1	3	1	2	1	1	1	1	0	0	1	0	0	20	30	16.6	-6.6	15	-5.8	-5	-4.2	2.5	-6.3	0	-3.3	0
Hypercalcemia	MESH:D006934			1	3	4	2	2	2	0	0	1	0	0	0			0	0	30	3.3	2.4	-4.5	0	0	-1.8	0	0	0
Hepatic Encephalopathy	MESH:D006501		0	2	1	1	2	1	0	2	0	2	1	2	1		0	25	-5	-3.4	-4.1	-1.4	0	-2.01	0	-1.4	-0.55	11.56	4.8
Gastrointestinal Neoplasms	MESH:D005770	1	1	1	0	0	0	0	2	4	0	1	1	2	0	0	33.3	23.8	-14.3	0	-14.3	0	-6.3	-6.9	0	-1.1	5.8	-2.4	0
Epilepsies, Partial	MESH:D004828		2	1	4	0	3	3	1	0	0	0	0	0	1		0	0	0	0	33.3	13.3	3.4	-6.3	0	-6.2	0	0	9.5
Chorea	MESH:D002819		0	1	6	0	3	4	0	0	0	0	1	0	0		0	33.3	0	0	-8.3	12.5	0	0	0	0	-2.3	0	0
Cataract	MESH:D002386	1	0	6	0	0	1	1	0	1	0	1	1	0	0	0	0	25	0	0	-2	-1.6	0	11.9	0	-2.1	-1.8	0	0
Candidiasis	MESH:D002177	2	0	0	3	0	1	2	0	3	3	1	0	0	0	-50	0	0	-21.5	0	-3.5	15	0	6.1	10.1	2.6	0	0	0
Urinary Bladder Diseases	MESH:D001745	1	2	1	1	2	2	1	2	0	1	0	1	0	1	66.6	-26.6	-6.7	-4.8	-6.3	-4.1	-1.5	-2.4	0	-0.9	0	-0.8	0	-0.8
Ataxia	MESH:D001259		0	2	4	3	2	1	0	1	1	1	0	0	0		0	0	0	0	7.69	-0.55	0	-0.48	-0.41	-0.37	0	0	0
Abscess	MESH:D000038	0	2	1	0	1	2	0	2	0	2	1	2	0	0	0	8.3	-11.9	0	-8.9	-2.5	0	-18.4	-8.3	2.4	4.3	12.9	0	-5.9
Ventricular Remodeling	MESH:D020257				1	2	1	3	2	1	1	1	0	1	0				-16.6	0	-7.2	-2.8	-6.7	5.1	11.6	10	0	-3.8	0
Hepatitis B, Chronic	MESH:D019694	2	0	0	1	2	1	1	0	1	3	1	0	0	0	8.3	-16.7	0	-16.6	11.1	-1.1	-0.91	0	7.51	36.7	2.9	-6.2	0	0
Endotoxemia	MESH:D019446	0	0	3	0	2	1	1	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leishmaniasis, Cutaneous	MESH:D016773	0	0	1	4	2	1	2	0	1	0	0	1	0	1	0	0	0	12.5	7.5	-10.91	13.91	0	-1.6	0	0	-1.4	0	-1.3
Subarachnoid Hemorrhage	MESH:D013345	0	2	1	2	0	2	2	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0
Rheumatic Diseases	MESH:D012216	0	2	1	3	1	1	2	2	0	0	1	0	0	0	0	-26.6	-6.7	33.3	-16.6	13.6	-9.8	6.2	0	0	-3.8	0	0	0
Prenatal Exposure Delayed Effects	MESH:D011297	0	0	1	3	1	1	3	1	1	1	0	0	2	0	0	0	0	0	28.5	-3.5	2.2	6.1	-2.6	-2.2	0	0	9	0
Polyuria	MESH:D011141	1	2	0	5	2	0	0	0	0	1	0	1	0	0	0	0	0	25	10.7	0	0	0	-7.2	-1.9	0	-1.6	0	0
Neurologic Manifestations	MESH:D009461	1	0	5	1	2	1	0	2	0	2	0	0	0	0	0	0	12.5	-1.4	-2.01	-0.76	0	5.87	0	-1.7	0	0	0	0
Myasthenia Gravis	MESH:D009157					1	6	2	0	2	0	1	0	1	0					25	-15	-1.67	0	-1.19	0	12.86	0	11.2	0
Rhinitis, Allergic, Seasonal	MESH:D006255		2	2	2	1	2	1	0	0	1	2	0	1	0		50	-16.7	16.7	-5.6	-8.1	5.3	0	0	-3.2	1.6	0	3.7	0
Graft vs Host Disease	MESH:D006086	1	0	0	3	1	0	0	3	1	1	3	1	0	0	0	0	0	0	14.2	-14.2	0	20	-1.9	-1.5	23.4	-2.5	0	0
Gout	MESH:D006073	0	0	0	4	1	0	1	0	1	1	2	0	0	1	0	0	0	22.2	17.8	-10	-2.8	0	-2.2	13.4	-5.1	0	0	-2.1
Tourette Syndrome	MESH:D005879				1	2	3	1	2	0	0	1	3	1	0				0	0	0	22.2	-4.1	0	0	-1.5	10	-1.6	0
Endometriosis	MESH:D004715					2	4	1	1	1	1	0	1	3	0					75	-25	-5.6	-4.4	-3.7	-3	0	-2.6	19.3	0
Cerebral Hemorrhage	MESH:D002543			0	2	4	2	2	1	0	1	0	0	1	1			0	0	12.5	-2.5	-1.67	14.67	0	-8.8	0	0	5.8	-1.3
Carcinoma, Ehrlich Tumor	MESH:D002286	0	1	1	1	0	0	1	3	1	0	1	1	0	0	0	-4.8	-3.5	-2.8	0	0	-2.2	10.7	-2.2	0	-1.9	4.6	0	-6.2
Burkitt Lymphoma	MESH:D002051			0	1	2	2	1	4	0	1	1	0	2	0			0	0	20	37.1	17.9	-8.4	0	-5.1	2.7	0	-8	0
Bone Resorption	MESH:D001862	0	0	0	1	1	0	1	1	1	1	2	1	0	1	0	0	0	9.5	7.2	0	5.5	4.5	3.6	-5.3	-8.3	-10	0	-2.5
Arteriosclerosis	MESH:D001161	1	2	3	1	0	2	1	0	2	0	0	0	1	0	0	0	22.2	-12.2	0	15	13.4	0	-5.1	0	0	0	-2.1	0
Anaphylaxis	MESH:D000707	0	2	1	4	2	1	1	1	0	0	1	0	0	0	0	0	0	10	15	-2	-1.6	-1.4	0	0	-1.3	0	0	0
Adenoma	MESH:D000236				2	3	2	0	0	0	0	1	2	0	0				12.5	14.7	3.5	0	0	0	0	12.1	-5.3	0	-6.3
Organophosphate Poisoning	MESH:D062025	1	0	0	1	0	0	4	1	2	1	0	0	1	0	0	0	0	0	0	0	30	-2.8	-4.2	-1.6	0	0	-1.4	0
Acute Coronary Syndrome	MESH:D054058		0	2	3	1	0	1	1	2	1	1	1	0	0		0	50	-21.5	-3.5	0	-2.8	-2.2	13.3	5.1	4.4	-9.5	0	0
AIDS-Related Opportunistic Infections	MESH:D017088					1	1	3	1	2	1	1	0	2	1					-16.7	16.7	-21.5	-3.5	-5	-1.9	-1.5	0	4.8	-1.4
Testicular Neoplasms	MESH:D013736			1	1	1	1	0	2	0	1	1	2	0	0			0	0	0	0	0	18.1	0	23.5	-3.2	1.6	0	0
Restless Legs Syndrome	MESH:D012148				1	3	2	1	3	1	0	1	1	0	0				33.3	-16.7	-4.1	-12.5	0	15.3	0	-1.1	12.4	0	-6.6
Pneumococcal Infections	MESH:D011008				1	1	3	1	1	3	2	0	0	0	0				50	30	-5	-8.4	3.4	-16.2	12.8	-6.6	0	0	0
Neoplasms, Hormone-Dependent	MESH:D009376		0	1	0	2	2	0	4	2	1	1	0	0	0		0	33.3	0	-13.3	-5.8	0	-5.11	6.21	-1.1	-0.9	0	-6.64	0
Opioid-Related Disorders	MESH:D009293		0	0	3	1	1	1	1	0	1	1	1	3	0		0	0	0	0	0	25	-2.8	0	-2.2	-1.9	15.2	6.7	0
Lung Diseases, Obstructive	MESH:D008173			2	2	1	3	1	1	1	0	0	0	0	0			-16.7	-8.3	-2.8	-5.6	6.4	12.7	-2.4	0	0	0	0	0
Klebsiella Infections	MESH:D007710	0	2	0	0	2	1	1	1	1	3	0	1	0	1	0	25	0	0	8.3	9.5	19.7	-7	4.5	9.2	0	2.2	-7.2	2.4
Hepatitis	MESH:D006505				1	4	0	1	2	2	1	0	1	1	0				0	0	0	0	0	16.6	-1.3	0	-1.1	-0.9	0
Glaucoma, Open-Angle	MESH:D005902			0	1	5	0	1	0	2	0	3	0	1	0			0	66.6	-29.1	0	-4.2	0	-6.1	0	8.5	0	-2.4	0
Epilepsy, Absence	MESH:D004832		1	2	2	0	2	3	1	1	0	0	0	0	1		0	0	0	0	33.3	0	5.1	4.4	0	0	0	0	10.5
Dysmenorrhea	MESH:D004412	1	0	0	3	1	3	1	1	0	0	1	0	0	1	0	0	0	57.1	5.4	-8	-4.5	-3.9	0	0	-3.3	0	0	17.2
Diabetic Angiopathies	MESH:D003925	0	1	3	1	1	1	2	1	1	2	0	0	0	0	0	-16.7	0	-4.8	-3.5	-2.8	5	-2.2	-2	10.3	0	0	-6.7	0
Confusion	MESH:D003221		0	4	2	0	2	2	2	1	0	0	0	0	0		0	33.3	16.7	0	10	-10	-14.3	-2.4	0	0	0	0	0
Bone Neoplasms	MESH:D001859	0	1	2	1	2	0	1	4	0	0	1	0	0	1	0	0	0	0	25	0	8.3	-2.6	0	0	12.1	0	0	-2.8
Squamous Cell Carcinoma of Head and Neck	MESH:D000077195	0	1	0	1	0	0	0	3	2	1	4	0	1	0	0	0	0	0	0	0	0	14.2	30.2	-4.4	2.8	0	3.8	0
Irritable Bowel Syndrome	MESH:D043183	0	1	1	2	1	0	0	0	0	0	1	1	1	1	0	33.3	-4.8	-6.3	-2.2	0	0	0	0	0	-1.9	-1.5	-1.3	-1.1
Brain Infarction	MESH:D020520	0	0	2	0	0	0	1	2	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Venous Thrombosis	MESH:D020246	2	0	1	0	0	1	2	1	1	1	1	1	1	0	50	0	-10	0	0	-6.7	4.2	-4.2	-3.3	6.3	-3	-2.6	12.1	0
Arthralgia	MESH:D018771				0	4	0	1	4	0	0	0	1	0	0				0	0	-12.5	-1.4	11.9	0	0	0	-1.6	0	0
Tuberculosis, Multidrug-Resistant	MESH:D018088		1	0	1	1	1	1	1	2	1	1	0	1	0		0	0	0	0	0	25	-2.8	5	-2.2	-2	0	-1.6	0
Epilepsy, Complex Partial	MESH:D017029				4	1	3	3	1	0	0	0	0	0	0				0	0	40	21.5	2.7	-7.1	0	-7.1	0	0	0
Helicobacter Infections	MESH:D016481	1	1	3	1	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	14.2	0	0	0	0
Lymphoma, Large B-Cell, Diffuse	MESH:D016403				1	1	1	0	3	0	1	4	1	0	0				-33.4	-16.6	10	0	2.5	0	-7	6	-4.4	0	0
Torsades de Pointes	MESH:D016171				0	2	0	5	0	2	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0
Miosis	MESH:D015877	1	0	0	0	1	2	2	0	1	1	0	2	0	0	0	0	0	0	0	0	20	0	-1.9	-1.5	0	-2.4	0	0
Osteoporosis, Postmenopausal	MESH:D015663		0	2	0	0	2	0	1	0	1	2	1	2	1		0	25	0	0	8.3	0	-4.8	0	9	12.5	13.6	5.6	-5
Uveitis	MESH:D014605	1	0	0	2	1	1	2	2	0	0	2	0	1	0	0	0	0	0	33.3	9.5	-9.5	12.1	0	0	0.7	0	-3.3	0
Tobacco Use Disorder	MESH:D014029	0	1	2	0	0	1	1	3	0	2	1	1	0	0	0	0	20	0	0	-3.4	-16.6	0	0	0	0	14.2	0	0
Sarcoma, Ewing	MESH:D012512			1	1	1	0	1	3	0	2	0	0	3	0			0	0	0	0	0	22.2	0	14.1	0	0	-7.8	0
Rhinitis, Allergic, Perennial	MESH:D012221	1	2	2	3	0	1	1	0	0	1	0	0	0	0	0	33.3	-8.3	29.5	0	-4.5	3.8	0	0	-3.8	0	0	0	0
Rhinitis	MESH:D012220	0	0	4	0	0	3	0	0	1	1	2	0	0	0	0	0	0	0	0	10	0	0	17.2	-2.2	3.5	0	0	0
Pulmonary Embolism	MESH:D011655	1	1	0	0	1	2	2	0	2	1	0	0	1	0	0	20	0	0	-3.4	-4.1	37.5	0	0	-3.9	0	0	-3.3	0
Pre-Eclampsia	MESH:D011225			1	3	1	2	1	2	2	0	0	0	0	0			0	0	0	0	0	0	14.2	0	0	0	0	0
Pancreatitis	MESH:D010195	1	0	0	2	2	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neutropenia	MESH:D009503	0	2	2	2	0	0	0	2	3	0	0	0	0	0	0	40	-11.5	-6.3	0	0	0	5	1.3	0	0	0	0	0
Nephritis, Interstitial	MESH:D009395	1	2	0	1	2	0	2	2	0	0	0	0	0	0	0	14.2	-14.2	0	10	-10	8.33	13.07	0	0	0	0	0	0
Muscle Cramp	MESH:D009120				1	3	1	2	0	0	1	0	1	0	0				0	0	0	0	0	0	0	0	0	0	0
Mouth Neoplasms	MESH:D009062	0	1	0	0	1	0	0	1	0	1	4	1	0	0	0	0	0	0	28.5	0	0	-3.5	0	8.3	-10.3	-1.6	0	0
Melanoma, Experimental	MESH:D008546	0	1	1	0	1	1	0	2	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leukopenia	MESH:D007970	0	1	1	2	0	0	0	1	1	0	1	1	0	0	0	0	0	10	0	0	0	-0.91	-0.76	-8.33	15.3	-1.1	0	0
Intraoperative Complications	MESH:D007431		1	2	3	1	2	1	1	0	1	0	0	0	0		0	0	0	22.2	-4.1	-1.5	-1.3	0	-1.1	0	0	0	0
Hyperlipoproteinemia Type II	MESH:D006938	1	0	2	2	2	1	0	1	1	1	0	1	0	0	-33.4	0	-6.6	-17.2	12.7	4.5	0	3.6	-5.3	10.9	0	-5	0	0
Gastritis	MESH:D005756				2	1	1	2	0	3	2	0	0	0	0				-6.6	-10	-7.2	-9.5	0	8.3	15.5	0	0	0	0
Fatty Liver, Alcoholic	MESH:D005235	1	0	4	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extravasation of Diagnostic and Therapeutic Materials	MESH:D005119	0	0	1	2	1	3	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epilepsies, Myoclonic	MESH:D004831				3	1	2	2	0	2	0	0	1	1	0				0	0	25	-15	0	-1.67	0	0	-0.64	-0.55	0
Dizziness	MESH:D004244		1	2	1	1	0	2	1	1	3	0	0	0	0		0	0	0	0	0	0	0	0	35.7	0	0	0	0
Diabetic Retinopathy	MESH:D003930	0	0	3	1	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14	0	0	0	0
Dermatitis, Atopic	MESH:D003876			0	1	1	2	2	0	1	0	1	1	2	1			0	0	50	0	12.5	0	-7	0	-5.5	-4.6	8.4	3.3
Coma	MESH:D003128		0	1	0	3	1	2	1	2	1	0	1	0	0		0	0	0	0	0	0	20	-3.4	-1.3	0	-1.1	0	0
Autoimmune Diseases	MESH:D001327	1	0	2	2	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14	0	0
Hyperuricemia	MESH:D033461	0	0	0	3	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bronchitis, Chronic	MESH:D029481			2	0	0	2	2	1	1	1	0	0	0	0			-25	0	0	0	0	13.6	-5.3	10.9	0	0	0	0
Essential Tremor	MESH:D020329	0	0	0	3	2	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69	0
Hepatitis C, Chronic	MESH:D019698		0	0	2	2	1	0	0	0	0	2	4	0	0		0	0	0	33.3	23.8	0	0	0	0	-12.7	9.4	0	0
Hot Flashes	MESH:D019584	1	0	1	1	1	2	2	1	0	0	1	0	1	0	0	0	0	0	0	0	20	-1.9	0	0	15.2	0	5.1	0
Dermatitis, Allergic Contact	MESH:D017449	1	2	1	0	1	3	0	0	1	0	0	0	0	1	0	33.3	-4.8	0	21.5	4.5	0	0	-4.5	0	0	0	0	3.8
