disease_name	disease_id	953_cmpds	1049_cmpds	1150_cmpds	1250_cmpds	1350_cmpds	1450_cmpds	1550_cmpds	1650_cmpds	1750_cmpds	1852_cmpds	1950_cmpds	2050_cmpds	2150_cmpds	2250_cmpds	2294_cmpds	953_top10	1049_top10	1150_top10	1250_top10	1350_top10	1450_top10	1550_top10	1650_top10	1750_top10	1852_top10	1950_top10	2050_top10	2150_top10	2250_top10	2294_top10
Akathisia, Drug-Induced	MESH:D017109	2	2	2	4	6	8	13	16	17	18	18	18	19	19	20	0	0	0	0	50	37.5	38.4	50	47	44.4	44.4	44.4	42.1	42.1	40
Thyroid Neoplasms	MESH:D013964	4	4	4	5	7	8	8	9	11	13	14	16	16	20	20	50	50	25	20	14.2	12.5	12.5	11.1	18.1	23	21.4	18.7	18.7	25	25
Thrombocytopenia	MESH:D013921			2	4	6	8	9	10	11	14	16	17	19	20	20			0	0	0	25	22.2	20	18.1	28.5	37.5	47	42.1	40	40
Testicular Diseases	MESH:D013733	8	8	8	9	9	10	10	12	13	14	16	17	19	20	20	62.5	62.5	62.5	55.5	55.5	50	50	41.6	38.4	35.7	43.7	41.1	42.1	40	40
Spinal Cord Injuries	MESH:D013119	3	3	3	5	5	7	9	12	16	16	17	19	19	19	20	0	0	0	0	0	14.2	11.1	8.33	6.25	6.25	5.88	10.5	10.5	10.5	10
Prostatic Hyperplasia	MESH:D011470	5	6	6	8	8	12	13	13	14	15	16	19	19	20	20	60	66.6	50	37.5	37.5	16.6	23	23	21.4	26.6	31.2	52.6	52.6	50	50
Myelodysplastic Syndromes	MESH:D009190	2	3	5	5	7	7	8	8	11	12	15	17	17	20	20	100	66.6	40	40	28.5	28.5	50	50	36.3	33.3	40	47	47	45	45
Mycoses	MESH:D009181	2	4	6	6	10	11	12	14	15	18	19	20	20	20	20	100	50	50	50	40	54.5	58.3	64.2	60	61.1	68.4	70	70	70	70
Multiple Sclerosis	MESH:D009103		3	3	6	7	9	9	10	15	15	15	17	19	20	20		0	0	0	0	11.1	0	0	20	20	20	23.5	21	20	20
Meningitis	MESH:D008581		2	3	3	3	6	9	10	14	17	18	20	20	20	20		0	0	0	0	0	22.2	40	42.8	47	50	50	40	40	40
Esophageal Neoplasms	MESH:D004938	2	2	4	7	8	9	11	11	14	16	16	18	19	20	20	0	0	0	14.2	0	0	18.1	18.1	28.5	37.5	37.5	33.3	31.5	30	30
Dementia	MESH:D003704	5	5	5	7	10	12	14	17	17	18	20	20	20	20	20	40	40	40	28.5	50	41.6	50	47	47	50	45	45	45	45	45
Ischemic Attack, Transient	MESH:D002546	4	4	5	9	10	11	13	16	17	19	20	20	20	20	20	0	0	0	11.1	10	18.1	15.3	6.25	5.88	21	25	25	25	25	25
Cardiomyopathy, Hypertrophic	MESH:D002312	2	2	5	7	9	10	10	14	16	18	18	19	20	20	20	0	0	20	14.2	11.1	10	10	28.5	25	27.7	27.7	36.8	40	40	40
Anemia	MESH:D000740	3	3	4	7	9	12	13	13	14	14	17	18	19	20	20	0	0	0	28.5	22.2	16.6	15.3	15.3	14.2	14.2	11.7	11.1	15.7	15	15
Labor Pain	MESH:D048949				2	5	7	9	11	15	17	17	17	17	17	19				100	80	71.4	77.7	63.6	66.6	58.8	58.8	58.8	58.8	58.8	52.6
Substance-Related Disorders	MESH:D019966	5	5	7	9	11	11	12	12	13	13	17	18	18	19	19	40	40	42.8	33.3	27.2	27.2	25	25	23	23	17.6	16.6	16.6	15.7	15.7
Stereotypic Movement Disorder	MESH:D019956	5	5	5	7	10	11	12	14	15	16	18	18	19	19	19	0	0	0	14.2	30	27.2	41.6	42.8	40	50	55.5	55.5	52.6	47.3	42.1
Conduct Disorder	MESH:D019955			2	4	10	11	14	16	17	17	18	19	19	19	19			0	0	20	18.1	50	43.7	41.1	41.1	38.8	36.8	36.8	36.8	36.8
Gram-Positive Bacterial Infections	MESH:D016908			3	3	3	5	9	9	13	15	17	18	19	19	19			0	0	0	0	44.4	44.4	38.4	33.3	35.2	33.3	42.1	42.1	42.1
Gram-Negative Bacterial Infections	MESH:D016905	4	4	5	7	7	8	10	10	13	14	16	17	18	18	19	0	0	40	71.4	57.1	50	60	60	69.2	71.4	62.5	52.9	55.5	55.5	57.8
Lymphoma, B-Cell	MESH:D016393	2	3	4	4	5	8	8	8	13	13	17	17	17	19	19	0	0	0	0	0	12.5	0	0	15.3	15.3	11.7	11.7	11.7	10.5	10.5
Inflammatory Bowel Diseases	MESH:D015212	4	5	6	8	9	10	12	12	14	14	14	14	18	19	19	0	0	0	0	0	10	25	25	21.4	21.4	21.4	14.2	27.7	31.5	31.5
Osteosarcoma	MESH:D012516	2	3	4	4	7	8	8	8	14	14	15	16	16	19	19	0	0	0	0	28.5	25	25	25	57.1	57.1	60	68.7	68.7	63.1	63.1
Sarcoma	MESH:D012509			3	5	6	7	8	8	14	15	15	16	17	19	19			0	0	0	0	0	0	28.5	40	40	50	47	42.1	42.1
Paranoid Disorders	MESH:D010259	2	2	3	5	8	9	12	18	18	18	19	19	19	19	19	0	0	33.3	40	62.5	55.5	58.3	55.5	55.5	55.5	57.8	57.8	57.8	57.8	57.8
Lung Diseases	MESH:D008171	5	5	6	8	8	9	11	12	15	17	18	18	18	18	19	20	0	0	0	0	0	27.2	25	20	29.4	38.8	38.8	38.8	38.8	36.8
Long QT Syndrome	MESH:D008133		2	2	6	7	11	13	15	17	18	19	19	19	19	19		0	0	33.3	42.8	27.2	38.4	46.6	41.1	33.3	31.5	31.5	26.3	26.3	26.3
Huntington Disease	MESH:D006816	8	9	9	12	12	12	14	15	16	16	16	17	19	19	19	37.5	33.3	33.3	16.6	16.6	16.6	21.4	20	18.7	18.7	18.7	17.6	15.7	15.7	15.7
Hepatitis B	MESH:D006509	6	6	6	6	7	9	10	11	11	13	16	19	19	19	19	100	100	83.3	83.3	100	88.8	80	72.7	72.7	76.9	87.5	84.2	78.9	78.9	78.9
Gastroesophageal Reflux	MESH:D005764	5	5	5	9	12	13	15	16	16	17	19	19	19	19	19	40	40	40	55.5	50	46.1	40	37.5	37.5	35.2	42.1	42.1	42.1	42.1	42.1
Child Behavior Disorders	MESH:D002653		3	3	9	14	15	16	18	18	18	18	18	19	19	19		0	0	0	0	6.66	6.25	11.1	11.1	11.1	11.1	11.1	10.5	10.5	10.5
Back Pain	MESH:D001416		3	4	6	10	11	13	15	16	17	19	19	19	19	19		66.6	50	33.3	30	36.3	46.1	53.3	50	52.9	47.3	47.3	47.3	47.3	47.3
Non-alcoholic Fatty Liver Disease	MESH:D065626	2	2	2	5	7	9	9	11	12	13	15	16	16	17	18	0	0	0	0	0	22.2	22.2	18.1	16.6	15.3	33.3	37.5	37.5	35.2	33.3
Drug Overdose	MESH:D062787	2	3	3	4	4	6	7	12	14	14	15	17	17	18	18	0	0	0	0	0	0	0	33.3	21.4	21.4	33.3	29.4	29.4	27.7	27.7
Metabolic Syndrome	MESH:D024821	2	2	3	5	7	7	8	10	10	11	12	14	15	18	18	0	0	0	0	0	0	0	20	20	27.2	41.6	50	46.6	38.8	38.8
Sexual Dysfunctions, Psychological	MESH:D020018				2	6	7	8	11	14	14	16	18	18	18	18				0	0	0	0	9.09	7.14	7.14	31.2	27.7	22.2	22.2	22.2
Neurodegenerative Diseases	MESH:D019636	2	2	2	4	5	6	9	11	11	13	14	15	16	17	18	0	0	0	0	0	0	33.3	36.3	36.3	30.7	28.5	26.6	25	23.5	22.2
Lymphoma, T-Cell	MESH:D016399	3	3	4	5	6	8	8	8	12	12	15	15	15	17	18	0	0	0	40	33.3	25	25	25	33.3	33.3	33.3	33.3	33.3	41.1	44.4
Status Asthmaticus	MESH:D013224		2	3	4	4	6	9	10	14	17	17	17	18	18	18		0	0	0	0	33.3	66.6	70	71.4	70.5	70.5	70.5	66.6	66.6	66.6
Pyelonephritis	MESH:D011704	2	2	5	5	7	9	13	14	15	15	17	17	18	18	18	50	50	80	80	71.4	55.5	69.2	71.4	66.6	66.6	64.7	64.7	61.1	61.1	61.1
Polycystic Ovary Syndrome	MESH:D011085				7	8	10	12	14	16	17	17	17	17	18	18				14.2	0	0	0	0	12.5	11.7	11.7	11.7	11.7	11.1	11.1
Medulloblastoma	MESH:D008527			2	2	2	3	3	3	7	8	12	15	15	18	18			0	0	0	0	0	0	0	0	0	13.3	13.3	11.1	11.1
Leukemia, Myeloid	MESH:D007951	2	2	4	4	4	5	5	5	7	8	13	13	14	17	18	0	0	0	0	0	0	0	0	0	0	46.1	46.1	42.8	58.8	66.6
Obstetric Labor, Premature	MESH:D007752		2	6	9	10	12	14	16	17	17	17	17	17	18	18		0	33.3	44.4	40	33.3	42.8	62.5	58.8	52.9	52.9	52.9	47	44.4	44.4
Infections	MESH:D007239	3	3	4	5	6	6	9	10	12	12	14	15	17	17	18	66.6	66.6	25	20	16.6	16.6	11.1	0	16.6	16.6	28.5	46.6	52.9	52.9	61.1
Hypokalemia	MESH:D007008			2	6	9	11	13	16	17	17	18	18	18	18	18			0	66.6	44.4	36.3	30.7	31.2	23.5	23.5	27.7	27.7	27.7	27.7	27.7
Hypertension, Malignant	MESH:D006974	4	4	6	8	10	11	11	13	14	14	15	17	17	17	18	0	0	33.3	50	40	36.3	27.2	23	21.4	21.4	33.3	29.4	29.4	29.4	27.7
Hypersensitivity	MESH:D006967			3	4	7	9	12	14	16	18	18	18	18	18	18			0	0	0	0	0	21.4	31.2	38.8	38.8	38.8	38.8	38.8	38.8
Hematuria	MESH:D006417	3	3	4	6	7	8	8	8	15	16	17	18	18	18	18	0	0	0	0	28.5	25	25	25	33.3	31.2	41.1	38.8	38.8	38.8	38.8
Dyspepsia	MESH:D004415	2	2	3	8	11	13	15	16	16	17	18	18	18	18	18	0	0	0	37.5	54.5	46.1	46.6	43.7	43.7	41.1	44.4	44.4	38.8	38.8	38.8
Atrial Flutter	MESH:D001282	2	2	3	6	6	7	8	10	13	16	16	16	16	18	18	0	0	0	16.6	16.6	14.2	12.5	0	0	6.25	6.25	6.25	6.25	5.55	5.55
Apnea	MESH:D001049		3	4	6	8	9	11	14	16	17	18	18	18	18	18		0	0	0	12.5	11.1	27.2	21.4	25	17.6	16.6	16.6	16.6	16.6	16.6
Plaque, Atherosclerotic	MESH:D058226	4	4	4	5	7	8	9	10	13	14	15	15	16	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Small Cell Lung Carcinoma	MESH:D055752			2	3	4	5	5	6	12	12	15	16	17	17	17			0	0	0	0	0	0	33.3	33.3	46.6	43.7	41.1	41.1	41.1
Hearing Loss	MESH:D034381	3	5	5	8	10	11	13	13	14	15	15	15	16	17	17	0	0	0	25	50	45.4	53.8	53.8	50	60	60	53.3	50	47	47
Infarction, Middle Cerebral Artery	MESH:D020244	3	3	3	7	7	8	9	11	12	12	13	15	17	17	17	0	0	0	0	0	0	0	9.09	8.33	8.33	15.3	13.3	11.7	11.7	11.7
Vertigo	MESH:D014717	3	4	7	8	10	12	14	16	16	16	17	17	17	17	17	0	0	14.2	12.5	10	50	42.8	43.7	43.7	43.7	47	47	47	41.1	41.1
Proteus Infections	MESH:D011512	5	6	7	8	9	11	14	14	15	15	15	15	17	17	17	60	50	71.4	62.5	55.5	63.6	71.4	71.4	66.6	66.6	66.6	66.6	76.4	76.4	76.4
Penile Diseases	MESH:D010409	8	8	8	10	12	12	15	15	16	16	16	16	16	17	17	25	25	25	20	25	25	20	20	18.7	18.7	18.7	18.7	18.7	17.6	17.6
Paresthesia	MESH:D010292				4	7	9	12	12	15	15	16	17	17	17	17				50	28.5	33.3	25	25	33.3	33.3	31.2	29.4	29.4	29.4	29.4
Intestinal Diseases	MESH:D007410	7	7	8	11	13	13	13	15	15	17	17	17	17	17	17	0	0	0	0	15.3	15.3	15.3	20	20	17.6	17.6	17.6	17.6	17.6	17.6
Disruptive, Impulse Control, and Conduct Disorders	MESH:D007174	4	4	5	6	9	10	12	13	14	15	16	16	16	17	17	0	0	20	50	66.6	60	75	69.2	64.2	60	62.5	56.2	56.2	52.9	52.9
Hypercalcemia	MESH:D006934			2	3	6	10	12	14	16	16	16	17	17	17	17			0	0	0	30	33.3	35.7	31.2	31.2	31.2	29.4	29.4	29.4	29.4
Hepatic Encephalopathy	MESH:D006501		2	2	4	5	6	8	9	9	11	11	13	14	16	17		0	0	25	20	16.6	12.5	11.1	11.1	9.09	9.09	7.69	7.14	18.7	23.5
Gastrointestinal Neoplasms	MESH:D005770	4	5	6	7	7	7	7	7	9	13	13	14	15	17	17	0	0	33.3	57.1	42.8	42.8	28.5	28.5	22.2	15.3	15.3	14.2	20	17.6	17.6
Epilepsies, Partial	MESH:D004828		2	4	5	9	9	12	15	16	16	16	16	16	16	17		0	0	0	0	0	33.3	46.6	50	43.7	43.7	37.5	37.5	37.5	47
Chorea	MESH:D002819		2	2	3	9	9	12	16	16	16	16	16	17	17	17		0	0	33.3	33.3	33.3	25	37.5	37.5	37.5	37.5	37.5	35.2	35.2	35.2
Cataract	MESH:D002386	5	6	6	12	12	12	13	14	14	15	15	16	17	17	17	0	0	0	25	25	25	23	21.4	21.4	33.3	33.3	31.2	29.4	29.4	29.4
Candidiasis	MESH:D002177	2	4	4	4	7	7	8	10	10	13	16	17	17	17	17	100	50	50	50	28.5	28.5	25	40	40	46.1	56.2	58.8	58.8	58.8	58.8
Urinary Bladder Diseases	MESH:D001745	2	3	5	6	7	9	11	12	14	14	15	15	16	16	17	0	66.6	40	33.3	28.5	22.2	18.1	16.6	14.2	14.2	13.3	13.3	12.5	12.5	11.7
Ataxia	MESH:D001259		2	2	4	8	11	13	14	14	15	16	17	17	17	17		0	0	0	0	0	7.69	7.14	7.14	6.66	6.25	5.88	5.88	5.88	5.88
Abscess	MESH:D000038	4	4	6	7	7	8	10	10	12	12	14	15	17	17	17	75	75	83.3	71.4	71.4	62.5	60	60	41.6	33.3	35.7	40	52.9	52.9	47
Ventricular Remodeling	MESH:D020257				3	4	6	7	10	12	13	14	15	15	16	16				66.6	50	50	42.8	40	33.3	38.4	50	60	60	56.2	56.2
Hepatitis B, Chronic	MESH:D019694	4	6	6	6	7	9	10	11	11	12	15	16	16	16	16	25	33.3	16.6	16.6	0	11.1	10	9.09	9.09	16.6	53.3	56.2	50	50	50
Endotoxemia	MESH:D019446	4	4	4	7	7	9	10	11	13	14	14	15	15	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leishmaniasis, Cutaneous	MESH:D016773	3	3	3	4	8	10	11	13	13	14	14	14	15	15	16	0	0	0	0	12.5	20	9.09	23	23	21.4	21.4	21.4	20	20	18.7
Subarachnoid Hemorrhage	MESH:D013345	2	2	4	5	7	7	9	11	14	14	15	16	16	16	16	0	0	0	0	0	0	0	0	0	0	0	12.5	12.5	12.5	12.5
Rheumatic Diseases	MESH:D012216	3	3	5	6	9	10	11	13	15	15	15	16	16	16	16	66.6	66.6	40	33.3	66.6	50	63.6	53.8	60	60	60	56.2	56.2	56.2	56.2
Prenatal Exposure Delayed Effects	MESH:D011297	2	2	2	3	6	7	8	11	12	13	14	14	14	16	16	0	0	0	0	0	28.5	25	27.2	33.3	30.7	28.5	28.5	28.5	37.5	37.5
Polyuria	MESH:D011141	4	5	7	7	12	14	14	14	14	14	15	15	16	16	16	0	0	0	0	25	35.7	35.7	35.7	35.7	28.5	26.6	26.6	25	25	25
Neurologic Manifestations	MESH:D009461	2	3	3	8	9	11	12	12	14	14	16	16	16	16	16	0	0	0	12.5	11.1	9.09	8.33	8.33	14.2	14.2	12.5	12.5	12.5	12.5	12.5
Myasthenia Gravis	MESH:D009157					3	4	10	12	12	14	14	15	15	16	16					0	25	10	8.33	8.33	7.14	7.14	20	20	31.2	31.2
Rhinitis, Allergic, Seasonal	MESH:D006255		2	4	6	8	9	11	12	12	12	13	15	15	16	16		0	50	33.3	50	44.4	36.3	41.6	41.6	41.6	38.4	40	40	43.7	43.7
Graft vs Host Disease	MESH:D006086	2	3	3	3	6	7	7	7	10	11	12	15	16	16	16	0	0	0	0	0	14.2	0	0	20	18.1	16.6	40	37.5	37.5	37.5
Gout	MESH:D006073	5	5	5	5	9	10	10	11	11	12	13	15	15	15	16	0	0	0	0	22.2	40	30	27.2	27.2	25	38.4	33.3	33.3	33.3	31.2
Tourette Syndrome	MESH:D005879				2	3	5	8	9	11	11	11	12	15	16	16				0	0	0	0	22.2	18.1	18.1	18.1	16.6	26.6	25	25
Endometriosis	MESH:D004715					2	4	8	9	10	11	12	12	13	16	16					0	75	50	44.4	40	36.3	33.3	33.3	30.7	50	50
Cerebral Hemorrhage	MESH:D002543			2	2	4	8	10	12	13	13	14	14	14	15	16			0	0	0	12.5	10	8.33	23	23	14.2	14.2	14.2	20	18.7
Carcinoma, Ehrlich Tumor	MESH:D002286	6	6	7	8	9	9	9	10	13	14	14	15	16	16	16	33.3	33.3	28.5	25	22.2	22.2	22.2	20	30.7	28.5	28.5	26.6	31.2	31.2	25
Burkitt Lymphoma	MESH:D002051			2	2	3	5	7	8	12	12	13	14	14	16	16			0	0	0	20	57.1	75	66.6	66.6	61.5	64.2	64.2	56.2	56.2
Bone Resorption	MESH:D001862	6	6	6	6	7	8	8	9	10	11	12	14	15	15	16	33.3	33.3	33.3	33.3	42.8	50	50	55.5	60	63.6	58.3	50	40	40	37.5
Arteriosclerosis	MESH:D001161	3	4	6	9	10	10	12	13	13	15	15	15	15	16	16	0	0	0	22.2	10	10	25	38.4	38.4	33.3	33.3	33.3	33.3	31.2	31.2
Anaphylaxis	MESH:D000707	3	3	5	6	10	12	13	14	15	15	15	16	16	16	16	0	0	0	0	10	25	23	21.4	20	20	20	18.7	18.7	18.7	18.7
Adenoma	MESH:D000236				6	8	11	13	13	13	13	13	14	16	16	16				0	12.5	27.2	30.7	30.7	30.7	30.7	30.7	42.8	37.5	37.5	31.2
Organophosphate Poisoning	MESH:D062025	4	5	5	5	6	6	6	10	11	13	14	14	14	15	15	0	0	0	0	0	0	0	30	27.2	23	21.4	21.4	21.4	20	20
Acute Coronary Syndrome	MESH:D054058		2	2	4	7	8	8	9	10	12	13	14	15	15	15		0	0	50	28.5	25	25	22.2	20	33.3	38.4	42.8	33.3	33.3	33.3
AIDS-Related Opportunistic Infections	MESH:D017088					2	3	4	7	8	10	11	12	12	14	15					50	33.3	50	28.5	25	20	18.1	16.6	16.6	21.4	20
Testicular Neoplasms	MESH:D013736			5	6	7	8	9	9	11	11	12	13	15	15	15			0	0	0	0	0	0	18.1	18.1	41.6	38.4	40	40	40
Restless Legs Syndrome	MESH:D012148				2	3	6	8	9	12	13	13	14	15	15	15				0	33.3	16.6	12.5	0	0	15.3	15.3	14.2	26.6	26.6	20
Pneumococcal Infections	MESH:D011008				3	4	5	8	9	10	13	15	15	15	15	15				0	50	80	75	66.6	70	53.8	66.6	60	60	60	60
Neoplasms, Hormone-Dependent	MESH:D009376		2	2	3	3	5	7	7	11	13	14	15	15	15	15		0	0	33.3	33.3	20	14.2	14.2	9.09	15.3	14.2	13.3	13.3	6.66	6.66
Opioid-Related Disorders	MESH:D009293		2	2	2	5	6	7	8	9	9	10	11	12	15	15		0	0	0	0	0	0	25	22.2	22.2	20	18.1	33.3	40	40
Lung Diseases, Obstructive	MESH:D008173			4	6	8	9	12	13	14	15	15	15	15	15	15			50	33.3	25	22.2	16.6	23	35.7	33.3	33.3	33.3	33.3	33.3	33.3
Klebsiella Infections	MESH:D007710	2	2	4	4	4	6	7	8	9	10	13	13	14	14	15	0	0	25	25	25	33.3	42.8	62.5	55.5	60	69.2	69.2	71.4	64.2	66.6
Hepatitis	MESH:D006505				2	3	7	7	8	10	12	13	13	14	15	15				0	0	0	0	0	0	16.6	15.3	15.3	14.2	13.3	13.3
Glaucoma, Open-Angle	MESH:D005902			2	2	3	8	8	9	9	11	11	14	14	15	15			0	0	66.6	37.5	37.5	33.3	33.3	27.2	27.2	35.7	35.7	33.3	33.3
Epilepsy, Absence	MESH:D004832		2	3	5	7	7	9	12	13	14	14	14	14	14	15		0	0	0	0	0	33.3	33.3	38.4	42.8	42.8	42.8	42.8	42.8	53.3
Dysmenorrhea	MESH:D004412	3	4	4	4	7	8	11	12	13	13	13	14	14	14	15	0	0	0	0	57.1	62.5	54.5	50	46.1	46.1	46.1	42.8	42.8	42.8	60
Diabetic Angiopathies	MESH:D003925	2	2	3	6	7	8	9	11	12	13	15	15	15	15	15	50	50	33.3	33.3	28.5	25	22.2	27.2	25	23	33.3	33.3	33.3	26.6	26.6
Confusion	MESH:D003221		2	2	6	8	8	10	12	14	15	15	15	15	15	15		0	0	33.3	50	50	60	50	35.7	33.3	33.3	33.3	33.3	33.3	33.3
Bone Neoplasms	MESH:D001859	2	2	3	5	6	8	8	9	13	13	13	14	14	14	15	0	0	0	0	0	25	25	33.3	30.7	30.7	30.7	42.8	42.8	42.8	40
Squamous Cell Carcinoma of Head and Neck	MESH:D000077195	2	2	3	3	4	4	4	4	7	9	10	14	14	15	15	0	0	0	0	0	0	0	0	14.2	44.4	40	42.8	42.8	46.6	46.6
Irritable Bowel Syndrome	MESH:D043183	5	5	6	7	9	10	10	10	10	10	10	11	12	13	14	0	0	33.3	28.5	22.2	20	20	20	20	20	20	18.1	16.6	15.3	14.2
Brain Infarction	MESH:D020520	3	3	3	5	5	5	5	6	8	8	11	12	12	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Venous Thrombosis	MESH:D020246	2	4	4	5	5	5	6	8	9	10	11	12	13	14	14	0	50	50	40	40	40	33.3	37.5	33.3	30	36.3	33.3	30.7	42.8	42.8
Arthralgia	MESH:D018771				4	4	8	8	9	13	13	13	13	14	14	14				25	25	25	12.5	11.1	23	23	23	23	21.4	21.4	21.4
Tuberculosis, Multidrug-Resistant	MESH:D018088		3	4	4	5	6	7	8	9	11	12	13	13	14	14		0	0	0	0	0	0	25	22.2	27.2	25	23	23	21.4	21.4
Epilepsy, Complex Partial	MESH:D017029				2	6	7	10	13	14	14	14	14	14	14	14				0	0	0	40	61.5	64.2	57.1	57.1	50	50	50	50
Helicobacter Infections	MESH:D016481	2	3	4	7	8	8	9	9	10	11	14	14	14	14	14	0	0	0	0	0	0	0	0	0	0	14.2	14.2	14.2	14.2	14.2
Lymphoma, Large B-Cell, Diffuse	MESH:D016403				2	3	4	5	5	8	8	9	13	14	14	14				100	66.6	50	60	60	62.5	62.5	55.5	61.5	57.1	57.1	57.1
Torsades de Pointes	MESH:D016171				4	4	6	6	11	11	13	13	13	13	13	14				0	0	0	0	0	0	0	0	0	0	0	0
Miosis	MESH:D015877	4	5	5	5	5	6	8	10	10	11	12	12	14	14	14	0	0	0	0	0	0	0	20	20	18.1	16.6	16.6	14.2	14.2	14.2
Osteoporosis, Postmenopausal	MESH:D015663		2	2	4	4	4	6	6	7	7	8	10	11	13	14		0	0	25	25	25	33.3	33.3	28.5	28.5	37.5	50	63.6	69.2	64.2
Uveitis	MESH:D014605	2	3	3	3	5	6	7	9	11	11	11	13	13	14	14	0	0	0	0	0	33.3	42.8	33.3	45.4	45.4	45.4	46.1	46.1	42.8	42.8
Tobacco Use Disorder	MESH:D014029	2	2	3	5	5	5	6	7	10	10	12	13	14	14	14	0	0	0	20	20	20	16.6	0	0	0	0	0	14.2	14.2	14.2
Sarcoma, Ewing	MESH:D012512			2	3	4	5	5	6	9	9	11	11	11	14	14			0	0	0	0	0	0	22.2	22.2	36.3	36.3	36.3	28.5	28.5
Rhinitis, Allergic, Perennial	MESH:D012221	3	4	6	8	11	11	12	13	13	13	14	14	14	14	14	0	0	33.3	25	54.5	54.5	50	53.8	53.8	53.8	50	50	50	50	50
Rhinitis	MESH:D012220	3	3	3	7	7	7	10	10	10	11	12	14	14	14	14	0	0	0	0	0	0	10	10	10	27.2	25	28.5	28.5	28.5	28.5
Pulmonary Embolism	MESH:D011655	3	4	5	5	5	6	8	10	10	12	13	13	13	14	14	0	0	20	20	20	16.6	12.5	50	50	50	46.1	46.1	46.1	42.8	42.8
Pre-Eclampsia	MESH:D011225			2	3	6	7	9	10	12	14	14	14	14	14	14			0	0	0	0	0	0	0	14.2	14.2	14.2	14.2	14.2	14.2
Pancreatitis	MESH:D010195	4	5	5	5	7	9	9	10	11	11	11	11	13	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neutropenia	MESH:D009503	3	3	5	7	9	9	9	9	11	14	14	14	14	14	14	0	0	40	28.5	22.2	22.2	22.2	22.2	27.2	28.5	28.5	28.5	28.5	28.5	28.5
Nephritis, Interstitial	MESH:D009395	4	5	7	7	8	10	10	12	14	14	14	14	14	14	14	0	0	14.2	0	0	10	0	8.33	21.4	21.4	21.4	21.4	21.4	21.4	21.4
Muscle Cramp	MESH:D009120				5	6	9	10	12	12	12	13	13	14	14	14				0	0	0	0	0	0	0	0	0	0	0	0
Mouth Neoplasms	MESH:D009062	5	5	6	6	6	7	7	7	8	8	9	13	14	14	14	0	0	0	0	0	28.5	28.5	28.5	25	25	33.3	23	21.4	21.4	21.4
Melanoma, Experimental	MESH:D008546	2	2	3	4	4	5	6	6	8	8	8	11	12	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leukopenia	MESH:D007970	6	6	7	8	10	10	10	10	11	12	12	13	14	14	14	0	0	0	0	10	10	10	10	9.09	8.33	0	15.3	14.2	14.2	14.2
Intraoperative Complications	MESH:D007431		2	3	5	8	9	11	12	13	13	14	14	14	14	14		0	0	0	0	22.2	18.1	16.6	15.3	15.3	14.2	14.2	14.2	14.2	14.2
Hyperlipoproteinemia Type II	MESH:D006938	2	3	3	5	7	9	10	10	11	12	13	13	14	14	14	100	66.6	66.6	60	42.8	55.5	60	60	63.6	58.3	69.2	69.2	64.2	64.2	64.2
Gastritis	MESH:D005756				3	5	6	7	9	9	12	14	14	14	14	14				66.6	60	50	42.8	33.3	33.3	41.6	57.1	57.1	57.1	57.1	57.1
Fatty Liver, Alcoholic	MESH:D005235	4	5	5	9	9	10	10	11	12	12	12	12	13	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Extravasation of Diagnostic and Therapeutic Materials	MESH:D005119	3	3	3	4	6	7	10	11	13	13	13	13	13	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epilepsies, Myoclonic	MESH:D004831				2	5	6	8	10	10	12	12	12	13	14	14				0	0	0	25	10	10	8.33	8.33	8.33	7.69	7.14	7.14
Dizziness	MESH:D004244		2	3	5	6	7	7	9	10	11	14	14	14	14	14		0	0	0	0	0	0	0	0	0	35.7	35.7	35.7	35.7	35.7
Diabetic Retinopathy	MESH:D003930	4	4	4	7	8	9	10	11	12	12	14	14	14	14	14	0	0	0	0	0	0	0	0	0	0	7.14	7.14	7.14	7.14	7.14
Dermatitis, Atopic	MESH:D003876			2	2	3	4	6	8	8	9	9	10	11	13	14			0	0	0	50	50	62.5	62.5	55.5	55.5	50	45.4	53.8	57.1
Coma	MESH:D003128		2	2	3	3	6	7	9	10	12	13	13	14	14	14		0	0	0	0	0	0	0	20	16.6	15.3	15.3	14.2	14.2	14.2
Autoimmune Diseases	MESH:D001327	4	5	5	7	9	9	9	10	12	13	13	13	14	14	14	0	0	0	0	0	0	0	0	0	0	0	0	7.14	7.14	7.14
Hyperuricemia	MESH:D033461	5	5	5	5	8	8	8	9	9	11	12	13	13	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bronchitis, Chronic	MESH:D029481			4	6	6	6	8	10	11	12	13	13	13	13	13			75	50	50	50	50	50	63.6	58.3	69.2	69.2	69.2	69.2	69.2
Essential Tremor	MESH:D020329	3	3	3	3	6	8	10	11	11	11	11	11	11	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	7.69	7.69
